Alleycat,Persona 5,Persona,https://youtu.be/tj4YmCH67k4
Alright -elp version-,Persona 5,Persona,https://youtu.be/rrmwqaZ8HZ8
New Beginning,Persona 5,Persona,https://youtu.be/VZ-ylzqehKo
Alright,Persona 5,Persona,https://youtu.be/IoMuFRCGj6c
Break It Down -elp version-,Persona 5,Persona,https://youtu.be/zGxXoeexhnM
What's Going On?,Persona 5,Persona,https://youtu.be/iuU8AEoopEg
Sweet,Persona 5,Persona,https://youtu.be/3fijnlPV9WE
Electronics Store,Persona 5,Persona,https://youtu.be/9tJyE27IyKU
Dark Net,Persona 5,Persona,https://youtu.be/9SjRxapHufQ
Break It Down,Persona 5,Persona,https://youtu.be/jzsb9oO1T4A
Is It Boring,Persona 5,Persona,https://youtu.be/n9fhvm-Q1JY
Sweatshop,Persona 5,Persona,https://youtu.be/_VWV7ffGYJw
The Whims of Fate,Persona 5,Persona,https://youtu.be/58p--cGb8Rw
Ark,Persona 5,Persona,https://youtu.be/wRaNc7nkpLA
Desire,Persona 5,Persona,https://youtu.be/oBgewU_Jia0
Rivers in the Desert,Persona 5,Persona,https://youtu.be/pwagDounDbM
Freedom and Security,Persona 5,Persona,https://youtu.be/j_nEj9rkiSc
Jaldabaoth,Persona 5,Persona,https://youtu.be/HawzmsbBC34
Swear to My Bones,Persona 5,Persona,https://youtu.be/5dUT-1zBuaA
Our Beginning,Persona 5,Persona,https://youtu.be/QV2-jwq_fAc
With the Stars and Us,Persona 5,Persona,https://youtu.be/4PAiRUdMlQ0
Colors Flying High (Opening Theme),Persona 5 Royal,Persona,https://youtu.be/Hav5_xSeIjg
Take Over,Persona 5 Royal,Persona,https://youtu.be/JhEL_OQfz2w
Ideal and the Real,Persona 5 Royal,Persona,https://youtu.be/t7bBSdO7jPk
No More What Ifs,Persona 5 Royal,Persona,https://youtu.be/kCbU6HY8DOU
Prison Labor,Persona 5 Royal,Persona,https://youtu.be/hsRDYW6tQ68
